,Unnamed: 0,id,text,is_retweet,is_deleted,favorites,retweets,date,text_clean,lemmas
250,607,1.3349916114036408e+18,Watch @SeanHannity tonight at 9:00 P.M. Eastern — story on Voter Fraud!,False,False,124057,20758,2020-12-04,Watch tonight at 9:00 P.M. Eastern — story on Voter Fraud!,"['watch', 'tonight', 'at', '9:00', 'p.m.', 'eastern', '—', 'story', 'on', 'voter', 'fraud', '!']"
253,614,1.328093294782509e+18,We won’t let a RIGGED ELECTION steal our Country! https://t.co/r0H4ZcDkHv,False,False,270740,62410,2020-11-15,We won’t let a RIGGED ELECTION steal our Country!,"['we', 'will', 'not', 'let', 'a', 'rigged', 'election', 'steal', 'our', 'country', '!']"
269,680,1.3354137701395497e+18,"The answer to the Democrat voter fraud is not to stay at home - that’s what Pelosi and Schumer want you to do. If you want revenge on the Democrats for their efforts to steal the Presidential election, where we are fighting hard, you have to show up and vote in RECORD numbers! https://t.co/XAJ0F2JmeL",False,False,166748,41785,2020-12-06,"The answer to the Democrat voter fraud is not to stay at home - that’s what Pelosi and Schumer want you to do. If you want revenge on the Democrats for their efforts to steal the Presidential election, where we are fighting hard, you have to show up and vote in RECORD numbers!","['the', 'answer', 'to', 'the', 'democrat', 'voter', 'fraud', 'be', 'not', 'to', 'stay', 'at', 'home', '-', 'that', '’', 'what', 'pelosi', 'and', 'schumer', 'want', 'you', 'to', 'do', '.', 'if', 'you', 'want', 'revenge', 'on', 'the', 'democrats', 'for', 'their', 'effort', 'to', 'steal', 'the', 'presidential', 'election', ',', 'where', 'we', 'be', 'fight', 'hard', ',', 'you', 'have', 'to', 'show', 'up', 'and', 'vote', 'in', 'record', 'number', '!']"
274,749,1.3356794265168814e+18,".@RudyGiuliani, by far the greatest mayor in the history of NYC, and who has been working tirelessly exposing the most corrupt election (by far!) in the history of the USA, has tested positive for the China Virus. Get better soon Rudy, we will carry on!!!",False,False,328966,57053,2020-12-06,"., by far the greatest mayor in the history of NYC, and who has been working tirelessly exposing the most corrupt election (by far!) in the history of the USA, has tested positive for the China Virus. Get better soon Rudy, we will carry on!!!","['.', ',', 'by', 'far', 'the', 'great', 'mayor', 'in', 'the', 'history', 'of', 'nyc', ',', 'and', 'who', 'have', 'be', 'work', 'tirelessly', 'expose', 'the', 'most', 'corrupt', 'election', '(', 'by', 'far', '!', ')', 'in', 'the', 'history', 'of', 'the', 'usa', ',', 'have', 'test', 'positive', 'for', 'the', 'china', 'virus', '.', 'get', 'well', 'soon', 'rudy', ',', 'we', 'will', 'carry', 'on', '!', '!', '!']"
276,762,1.3283614514976645e+18,"The Radical Left Democrats, working with their partner, the Fake News Media, are trying to STEAL this Election. We won’t let them!",False,False,344327,62658,2020-11-16,"The Radical Left Democrats, working with their partner, the Fake News Media, are trying to STEAL this Election. We won’t let them!","['the', 'radical', 'left', 'democrats', ',', 'work', 'with', 'their', 'partner', ',', 'the', 'fake', 'news', 'media', ',', 'be', 'try', 'to', 'steal', 'this', 'election', '.', 'we', 'will', 'not', 'let', 'they', '!']"
279,770,1.3357963933997752e+18,Watch @marklevinshow at 11:00 P.M. (now!) and @SteveHiltonx at 12:00 A.M. on the Great Election Fraud of 2020!,False,False,111167,20413,2020-12-07,Watch at 11:00 P.M. (now!) and at 12:00 A.M. on the Great Election Fraud of 2020!,"['watch', 'at', '11:00', 'p.m.', '(', 'now', '!', ')', 'and', 'at', '12:00', 'a.m.', 'on', 'the', 'great', 'election', 'fraud', 'of', '2020', '!']"
287,788,1.3361488364950692e+18,Georgia Lt. Governor @GeoffDuncanGA is a RINO Never Trumper who got himself elected as LG by falsely claiming to be “pro-Trump”. Too dumb or corrupt to recognize massive evidence of fraud in GA & should be replaced! We need every great Georgian to call him out! #SpecialSession!,False,False,151019,37472,2020-12-08,Georgia Lt. Governor is a RINO Never Trumper who got himself elected as LG by falsely claiming to be “pro-Trump”. Too dumb or corrupt to recognize massive evidence of fraud in GA & should be replaced! We need every great Georgian to call him out! SpecialSession!,"['georgia', 'lt', '.', 'governor', 'be', 'a', 'rino', 'never', 'trumper', 'who', 'get', 'himself', 'elect', 'as', 'lg', 'by', 'falsely', 'claim', 'to', 'be', '""', 'pro', '-', 'trump', '""', '.', 'too', 'dumb', 'or', 'corrupt', 'to', 'recognize', 'massive', 'evidence', 'of', 'fraud', 'in', 'ga', '&', 'should', 'be', 'replace', '!', 'we', 'need', 'every', 'great', 'georgian', 'to', 'call', 'he', 'out', '!', 'specialsession', '!']"
300,847,1.3366807135680717e+18,There is massive evidence of widespread fraud in the four states (plus) mentioned in the Texas suit. Just look at all of the tapes and affidavits!,False,False,193520,39561,2020-12-09,There is massive evidence of widespread fraud in the four states (plus) mentioned in the Texas suit. Just look at all of the tapes and affidavits!,"['there', 'be', 'massive', 'evidence', 'of', 'widespread', 'fraud', 'in', 'the', 'four', 'state', '(', 'plus', ')', 'mention', 'in', 'the', 'texas', 'suit', '.', 'just', 'look', 'at', 'all', 'of', 'the', 'tape', 'and', 'affidavit', '!']"
304,860,1.3367309061077688e+18,"If somebody cheated in the Election, which the Democrats did, why wouldn’t the Election be immediately overturned? How can a Country be run like this?",False,False,262143,51997,2020-12-09,"If somebody cheated in the Election, which the Democrats did, why wouldn’t the Election be immediately overturned? How can a Country be run like this?","['if', 'somebody', 'cheat', 'in', 'the', 'election', ',', 'which', 'the', 'democrats', 'do', ',', 'why', 'would', 'not', 'the', 'election', 'be', 'immediately', 'overturn', '?', 'how', 'can', 'a', 'country', 'be', 'run', 'like', 'this', '?']"
306,864,1.3368118232329216e+18,Wow! At least 17 States have joined Texas in the extraordinary case against the greatest Election Fraud in the history of the United States. Thank you!,False,False,359261,72857,2020-12-09,Wow! At least 17 States have joined Texas in the extraordinary case against the greatest Election Fraud in the history of the United States. Thank you!,"['wow', '!', 'at', 'least', '17', 'states', 'have', 'join', 'texas', 'in', 'the', 'extraordinary', 'case', 'against', 'the', 'great', 'election', 'fraud', 'in', 'the', 'history', 'of', 'the', 'united', 'states', '.', 'thank', 'you', '!']"
307,865,1.336844470994821e+18,"“If you’re looking for Election Rigging, look no further. That’s what this is. They kept information from the public in order to influence the outcome of the Election. They RIGGED it.” @TuckerCarlson",False,False,205211,46790,2020-12-10,"“If you’re looking for Election Rigging, look no further. That’s what this is. They kept information from the public in order to influence the outcome of the Election. They RIGGED it.”","['""', 'if', 'you', '’re', 'look', 'for', 'election', 'rigging', ',', 'look', 'no', 'far', '.', 'that', '’', 'what', 'this', 'be', '.', 'they', 'keep', 'information', 'from', 'the', 'public', 'in', 'order', 'to', 'influence', 'the', 'outcome', 'of', 'the', 'election', '.', 'they', 'rig', 'it', '.', '""']"
