,ID,Date,Text,Keyword,Context
88,1.343066231222448e+18,2020-12-27,"Michigan AG Dana Nessel Pursues Sanctions Against Lawyers Questioning Election https://t.co/Hb5xckedoN via @BreitbartNews  These lawyers are true patriots who are fighting for the truth and, obviously, getting very close. AG should be sanctioned. Fight on!",fight,"are true patriots who are fighting for the truth and, obviously,"
89,1.343066231222448e+18,2020-12-27,"Michigan AG Dana Nessel Pursues Sanctions Against Lawyers Questioning Election https://t.co/Hb5xckedoN via @BreitbartNews  These lawyers are true patriots who are fighting for the truth and, obviously, getting very close. AG should be sanctioned. Fight on!",fight,close. AG should be sanctioned. Fight on!
90,1.3411384090925097e+18,2020-12-21,...Republicans in Wisconsin should take these 3 strong decisions to their State Legislators and overturn this ridiculous State Election. We won in a LANDSLIDE!,landslide,Election. We won in a LANDSLIDE!
91,1.3429743708226929e+18,2020-12-26,"Time for Republican Senators to step up and fight for the Presidency, like the Democrats would do if they had actually won. The proof is irrefutable! Massive late night mail-in ballot drops in swing states, stuffing the ballot boxes (on video), double voters, dead voters,",fight,"Senators to step up and fight for the Presidency, like the"
92,1.3254423453960397e+18,2020-11-08,"....Where it mattered, they stole what they had to steal. @newtgingrich",steal,stole what they had to steal. @newtgingrich
93,1.3254423453960397e+18,2020-11-08,"....Where it mattered, they stole what they had to steal. @newtgingrich",steal,stole what they had to steal. @newtgingrich
94,1.343919652125241e+18,2020-12-29,"...more votes than is needed by me to win Pennsylvania, not to mention hundreds of thousands of votes in other categories which increase my already big lead into a landslide. All other Swing States show likewise. WE NEED NEW & ENERGETIC REPUBLICAN LEADERSHIP. This can not stand..",landslide,already big lead into a landslide. All other Swing States show
95,1.3439980760847483e+18,2020-12-29,"Unless Republicans have a death wish, and it is also the right thing to do, they must approve the $2000 payments ASAP. $600 IS NOT ENOUGH! Also, get rid of Section 230 - Don’t let Big Tech steal our Country, and don’t let the Democrats steal the Presidential Election. Get tough! https://t.co/GMotstu7OI",steal,"- Don’t let Big Tech steal our Country, and don’t let"
96,1.3439980760847483e+18,2020-12-29,"Unless Republicans have a death wish, and it is also the right thing to do, they must approve the $2000 payments ASAP. $600 IS NOT ENOUGH! Also, get rid of Section 230 - Don’t let Big Tech steal our Country, and don’t let the Democrats steal the Presidential Election. Get tough! https://t.co/GMotstu7OI",steal,and don’t let the Democrats steal the Presidential Election. Get tough!
97,1.3439980760847483e+18,2020-12-29,"Unless Republicans have a death wish, and it is also the right thing to do, they must approve the $2000 payments ASAP. $600 IS NOT ENOUGH! Also, get rid of Section 230 - Don’t let Big Tech steal our Country, and don’t let the Democrats steal the Presidential Election. Get tough! https://t.co/GMotstu7OI",steal,"- Don’t let Big Tech steal our Country, and don’t let"
98,1.3439980760847483e+18,2020-12-29,"Unless Republicans have a death wish, and it is also the right thing to do, they must approve the $2000 payments ASAP. $600 IS NOT ENOUGH! Also, get rid of Section 230 - Don’t let Big Tech steal our Country, and don’t let the Democrats steal the Presidential Election. Get tough! https://t.co/GMotstu7OI",steal,and don’t let the Democrats steal the Presidential Election. Get tough!
99,1.344036020162093e+18,2020-12-29,"Loeffler, Perdue Support Increasing Relief Payments to $2K https://t.co/xLFHNDOBIR via @BreitbartNews. Republicans must support the $2000 payments and must FIGHT the crooked presidential election. We won big!",fight,the $2000 payments and must FIGHT the crooked presidential election. We
100,1.3454989876175094e+18,2021-01-02,Civil War: Tucker Carlson Hits His Own Network in Epic Post-Election Monologue https://t.co/xUSQQWCa8q,war,Civil War: Tucker Carlson Hits His Own
101,1.345508977031975e+18,2021-01-02,An attempt to steal a landslide win. Can’t let it happen! https://t.co/sKn4iTjUy0,steal,An attempt to steal a landslide win. Can’t let
102,1.345508977031975e+18,2021-01-02,An attempt to steal a landslide win. Can’t let it happen! https://t.co/sKn4iTjUy0,steal,An attempt to steal a landslide win. Can’t let
103,1.345508977031975e+18,2021-01-02,An attempt to steal a landslide win. Can’t let it happen! https://t.co/sKn4iTjUy0,landslide,An attempt to steal a landslide win. Can’t let it happen!
104,1.3294241341666875e+18,2020-11-19,"Almost ZERO ballots rejected in Georgia this election. In years past, close to 4%. Not possible. Must have signature check on envelopes now. Very easy to do. Dems fighting because they got caught. Far more votes than needed for flip. Republicans must get tough! @BrianKempGA",fight,Very easy to do. Dems fighting because they got caught. Far
105,1.346659909492998e+18,2021-01-06,Looks like they are setting up a big “voter dump” against the Republican candidates. Waiting to see how many votes they need?,dump,setting up a big “voter dump” against the Republican candidates. Waiting
106,1.3388718623156677e+18,2020-12-15,Tremendous evidence pouring in on voter fraud. There has never been anything like this in our Country!,pour,Tremendous evidence pouring in on voter fraud. There
107,1.343919652125241e+18,2020-12-29,"...more votes than is needed by me to win Pennsylvania, not to mention hundreds of thousands of votes in other categories which increase my already big lead into a landslide. All other Swing States show likewise. WE NEED NEW &amp; ENERGETIC REPUBLICAN LEADERSHIP. This can not stand..",landslide,already big lead into a landslide. All other Swing States show
