,Unnamed: 0,id,text,is_retweet,is_deleted,favorites,retweets,date,text_clean
1330,1330,1.3254423453960397e+18,"....Where it mattered, they stole what they had to steal. @newtgingrich",False,False,301212,48130,2020-11-08,"....where it mattered, they stole what they had to steal."
1331,1331,1.325442336957018e+18,"“We believe these people are thieves. The big city machines are corrupt. This was a stolen election. Best pollster in Britain wrote this morning that this clearly was a stolen election, that it’s impossible to imagine that Biden outran Obama in some of these states.",False,False,516040,101484,2020-11-08,"“we believe these people are thieves. the big city machines are corrupt. this was a stolen election. best pollster in britain wrote this morning that this clearly was a stolen election, that it’s impossible to imagine that biden outran obama in some of these states."
1332,1332,1.32551160315716e+18,Since when does the Lamestream Media call who our next president will be? We have all learned a lot in the last two weeks!,False,False,689597,121194,2020-11-08,since when does the lamestream media call who our next president will be? we have all learned a lot in the last two weeks!
1333,1333,1.34381230523929e+18,"Give the people $2000, not $600. They have suffered enough! https://t.co/2jOVCnGtXS",False,False,160750,31444,2020-12-29,"give the people $2000, not $600. they have suffered enough!"
1334,1334,1.3247505550597284e+18,"“This is what we know. We have to go back to the state level and how this morass came to be in the first instance. The Governor, Wolf, and the State Supreme Court, flagrantly violated the Constitution of the U.S. The power to set these rules and regulations is vested in the",False,False,266157,59998,2020-11-06,"“this is what we know. we have to go back to the state level and how this morass came to be in the first instance. the governor, wolf, and the state supreme court, flagrantly violated the constitution of the u.s. the power to set these rules and regulations is vested in the"
1335,1335,1.3255273919937864e+18,Investigators Dispatched After Fulton County Discovers ‘Issue‘ with Ballot Reporting https://t.co/lShmKksQ0O via @BreitbartNews,False,False,261975,65506,2020-11-08,investigators dispatched after fulton county discovers ‘issue‘ with ballot reporting via
1336,1336,1.3411384082745958e+18,"...WOW, he just voted against me in a Big Court Decision on voter fraud (of which there was much!), despite many pages of dissent from three highly respected Justices. One thing has nothing to do with another, but we ended up losing 4-3 in a really incorrect ruling! Great...",False,False,138631,27864,2020-12-21,"...wow, he just voted against me in a big court decision on voter fraud (of which there was much!), despite many pages of dissent from three highly respected justices. one thing has nothing to do with another, but we ended up losing 4-3 in a really incorrect ruling! great..."
1337,1337,1.3411384074609254e+18,"Two years ago, the great people of Wisconsin asked me to endorse a man named Brian Hagedorn for State Supreme Court Justice, when he was getting destroyed in the Polls against a tough Democrat Candidate who had no chance of losing. After my endorsement, Hagedorn easily won!...",False,False,179509,36406,2020-12-21,"two years ago, the great people of wisconsin asked me to endorse a man named brian hagedorn for state supreme court justice, when he was getting destroyed in the polls against a tough democrat candidate who had no chance of losing. after my endorsement, hagedorn easily won!..."
1338,1338,1.3255634624335094e+18,Watch @marklevinshow at 8:00 P.M.  Will discuss the Mail-In Ballot Hoax!,False,False,404941,69697,2020-11-08,watch at 8:00 p.m. will discuss the mail-in ballot hoax!
1340,1340,1.3439159714808422e+18,"Weak and tired Republican “leadership” will allow the bad Defense Bill to pass. Say goodbye to VITAL Section 230 termination, your National Monuments, Forts (names!) and Treasures (inserted by Elizabeth “Pocahontas” Warren), 5G, and our great soldiers....",False,False,157939,40655,2020-12-29,"weak and tired republican “leadership” will allow the bad defense bill to pass. say goodbye to vital section 230 termination, your national monuments, forts (names!) and treasures (inserted by elizabeth “pocahontas” warren), 5g, and our great soldiers...."
