,Unnamed: 0,id,text,is_retweet,is_deleted,favorites,retweets,date,text_clean,lemmas,contains_metaphor
137,314,1.3334058542976328e+18,"I’m not fighting for me, I’m fighting for the 74,000,000 million people (not including the many Trump ballots that were “tossed”), a record for a sitting President, who voted for me!",False,False,496088,84459,2020-11-30,"I’m not fighting for me, I’m fighting for the 74,000,000 million people (not including the many Trump ballots that were “tossed”), a record for a sitting President, who voted for me!","['i', '’m', 'not', 'fight', 'for', 'i', ',', 'i', '’m', 'fight', 'for', 'the', '74,000,000', 'million', 'people', '(', 'not', 'include', 'the', 'many', 'trump', 'ballot', 'that', 'be', '""', 'toss', '""', ')', ',', 'a', 'record', 'for', 'a', 'sit', 'president', ',', 'who', 'vote', 'for', 'i', '!']",True
141,320,1.330374020613759e+18,"Thanks Mark. It’s all a continuation of the never ending Witch Hunt. Judge Brann, who would not even allow us to present our case or evidence, is a product of Senator Pat “No Tariffs” Toomey of Pennsylvania, no friend of mine, & Obama - No wonder. 900,000 Fraudulent Votes! https://t.co/17rk2KsUPs",False,False,144982,30473,2020-11-22,"Thanks Mark. It’s all a continuation of the never ending Witch Hunt. Judge Brann, who would not even allow us to present our case or evidence, is a product of Senator Pat “No Tariffs” Toomey of Pennsylvania, no friend of mine, & Obama - No wonder. 900,000 Fraudulent Votes!","['thank', 'mark', '.', 'it', '’', 'all', 'a', 'continuation', 'of', 'the', 'never', 'end', 'witch', 'hunt', '.', 'judge', 'brann', ',', 'who', 'would', 'not', 'even', 'allow', 'we', 'to', 'present', 'our', 'case', 'or', 'evidence', ',', 'be', 'a', 'product', 'of', 'senator', 'pat', '""', 'no', 'tariffs', '""', 'toomey', 'of', 'pennsylvania', ',', 'no', 'friend', 'of', 'mine', ',', '&', 'obama', '-', 'no', 'wonder', '.', '900,000', 'fraudulent', 'votes', '!']",True
144,324,1.3290872551687086e+18,"In Detroit, there are FAR MORE VOTES THAN PEOPLE. Nothing can be done to cure that giant scam. I win Michigan!",False,False,360087,69145,2020-11-18,"In Detroit, there are FAR MORE VOTES THAN PEOPLE. Nothing can be done to cure that giant scam. I win Michigan!","['in', 'detroit', ',', 'there', 'be', 'far', 'more', 'vote', 'than', 'people', '.', 'nothing', 'can', 'be', 'do', 'to', 'cure', 'that', 'giant', 'scam', '.', 'i', 'win', 'michigan', '!']",True
145,327,1.3292335021397156e+18,"Look at this in Wisconsin! A day AFTER the election, Biden receives a dump of 143,379 votes at 3:42AM, when they learned he was losing badly. This is unbelievable! https://t.co/nhiLMmyHBn",False,False,369662,118380,2020-11-19,"Look at this in Wisconsin! A day AFTER the election, Biden receives a dump of 143,379 votes at 3:42AM, when they learned he was losing badly. This is unbelievable!","['look', 'at', 'this', 'in', 'wisconsin', '!', 'a', 'day', 'after', 'the', 'election', ',', 'biden', 'receive', 'a', 'dump', 'of', '143,379', 'vote', 'at', '3:42am', ',', 'when', 'they', 'learn', 'he', 'be', 'lose', 'badly', '.', 'this', 'be', 'unbelievable', '!']",True
155,347,1.330487246236029e+18,It’s all about the signatures on the envelopes. Why are the Democrats fighting so hard to hide them. We will find massive numbers of fraudulent ballots. The signatures won’t match. Fight hard Republicans. Don’t let them destroy the evidence! https://t.co/qN2jHGeWEN,False,False,155833,38419,2020-11-22,It’s all about the signatures on the envelopes. Why are the Democrats fighting so hard to hide them. We will find massive numbers of fraudulent ballots. The signatures won’t match. Fight hard Republicans. Don’t let them destroy the evidence!,"['it', '’', 'all', 'about', 'the', 'signature', 'on', 'the', 'envelope', '.', 'why', 'be', 'the', 'democrats', 'fight', 'so', 'hard', 'to', 'hide', 'they', '.', 'we', 'will', 'find', 'massive', 'number', 'of', 'fraudulent', 'ballot', '.', 'the', 'signature', 'will', 'not', 'match', '.', 'fight', 'hard', 'republicans', '.', 'do', 'not', 'let', 'they', 'destroy', 'the', 'evidence', '!']",True
159,358,1.3336102603811758e+18,Donald Trump Calls In to Arizona Voter Fraud Hearing: We‘re Fighting Back https://t.co/pzDS6YnwSf via @BreitbartNews. A very inspiring hearing. Such great support from both witnesses to election fraud and political leaders!,False,False,118000,23951,2020-12-01,Donald Trump Calls In to Arizona Voter Fraud Hearing: We‘re Fighting Back via . A very inspiring hearing. Such great support from both witnesses to election fraud and political leaders!,"['donald', 'trump', 'call', 'in', 'to', 'arizona', 'voter', 'fraud', 'hearing', ':', 'we‘re', 'fight', 'back', 'via', '.', 'a', 'very', 'inspiring', 'hearing', '.', 'such', 'great', 'support', 'from', 'both', 'witness', 'to', 'election', 'fraud', 'and', 'political', 'leader', '!']",True
164,369,1.331013908971262e+18,"...fight, and I believe we will prevail! Nevertheless, in the best interest of our Country, I am recommending that Emily and her team do what needs to be done with regard to initial protocols, and have told my team to do the same.",False,False,239911,35172,2020-11-23,"...fight, and I believe we will prevail! Nevertheless, in the best interest of our Country, I am recommending that Emily and her team do what needs to be done with regard to initial protocols, and have told my team to do the same.","['...', 'fight', ',', 'and', 'i', 'believe', 'we', 'will', 'prevail', '!', 'nevertheless', ',', 'in', 'the', 'good', 'interest', 'of', 'our', 'country', ',', 'i', 'be', 'recommend', 'that', 'emily', 'and', 'her', 'team', 'do', 'what', 'need', 'to', 'be', 'do', 'with', 'regard', 'to', 'initial', 'protocol', ',', 'and', 'have', 'tell', 'my', 'team', 'to', 'do', 'the', 'same', '.']",True
165,372,1.331086969183621e+18,What does GSA being allowed to preliminarily work with the Dems have to do with continuing to pursue our various cases on what will go down as the most corrupt election in American political history? We are moving full speed ahead. Will never concede to fake ballots & “Dominion”.,False,False,344794,75668,2020-11-24,What does GSA being allowed to preliminarily work with the Dems have to do with continuing to pursue our various cases on what will go down as the most corrupt election in American political history? We are moving full speed ahead. Will never concede to fake ballots & “Dominion”.,"['what', 'do', 'gsa', 'be', 'allow', 'to', 'preliminarily', 'work', 'with', 'the', 'dems', 'have', 'to', 'do', 'with', 'continue', 'to', 'pursue', 'our', 'various', 'case', 'on', 'what', 'will', 'go', 'down', 'as', 'the', 'most', 'corrupt', 'election', 'in', 'american', 'political', 'history', '?', 'we', 'be', 'move', 'full', 'speed', 'ahead', '.', 'will', 'never', 'concede', 'to', 'fake', 'ballot', '&', '""', 'dominion', '""', '.']",True
167,374,1.3312142479557386e+18,"Poll: 79 Percent of Trump Voters Believe ‘Election Was Stolen‘ https://t.co/PmMBmt05AI via @BreitbartNews They are 100% correct, but we are fighting hard. Our big lawsuit, which spells out in great detail all of the ballot fraud and more, will soon be filled. RIGGED ELECTION!",False,False,184222,44923,2020-11-24,"Poll: 79 Percent of Trump Voters Believe ‘Election Was Stolen‘ via They are 100% correct, but we are fighting hard. Our big lawsuit, which spells out in great detail all of the ballot fraud and more, will soon be filled. RIGGED ELECTION!","['poll', ':', '79', 'percent', 'of', 'trump', 'voters', 'believe', ""'"", 'election', 'be', 'steal', ""'"", 'via', 'they', 'be', '100', '%', 'correct', ',', 'but', 'we', 'be', 'fight', 'hard', '.', 'our', 'big', 'lawsuit', ',', 'which', 'spell', 'out', 'in', 'great', 'detail', 'all', 'of', 'the', 'ballot', 'fraud', 'and', 'more', ',', 'will', 'soon', 'be', 'fill', '.', 'rigged', 'election', '!']",True
170,379,1.3270953987129467e+18,"Must see @seanhannity takedown of the horrible, inaccurate and anything but secure Dominion Voting System which is used in States where tens of thousands of votes were stolen from us and given to Biden. Likewise, the Great @LouDobbs has a confirming and powerful piece!",False,False,319244,65693,2020-11-13,"Must see takedown of the horrible, inaccurate and anything but secure Dominion Voting System which is used in States where tens of thousands of votes were stolen from us and given to Biden. Likewise, the Great has a confirming and powerful piece!","['must', 'see', 'takedown', 'of', 'the', 'horrible', ',', 'inaccurate', 'and', 'anything', 'but', 'secure', 'dominion', 'voting', 'system', 'which', 'be', 'use', 'in', 'states', 'where', 'ten', 'of', 'thousand', 'of', 'vote', 'be', 'steal', 'from', 'we', 'and', 'give', 'to', 'biden', '.', 'likewise', ',', 'the', 'great', 'have', 'a', 'confirming', 'and', 'powerful', 'piece', '!']",True
