,id,text,is_retweet,is_deleted,favorites,retweets,date,text_clean
1389,1.3451065951146066e+18,.@FoxNews Weekend Daytime is not watchable. Switching over to @OANN!,False,False,204888,37629,2021-01-01,. Weekend Daytime is not watchable. Switching over to !
1390,1.3451116214300918e+18,"Our Republican Senate just missed the opportunity to get rid of Section 230, which gives unlimited power to Big Tech companies. Pathetic!!! Now they want to give people ravaged by the China Virus $600, rather than the $2000 which they so desperately need. Not fair, or smart!",False,False,219128,54251,2021-01-01,"Our Republican Senate just missed the opportunity to get rid of Section 230, which gives unlimited power to Big Tech companies. Pathetic!!! Now they want to give people ravaged by the China Virus $600, rather than the $2000 which they so desperately need. Not fair, or smart!"
1391,1.3451524085912044e+18,January 6th. See you in D.C. https://t.co/vynZTv9lHb,False,False,173301,57859,2021-01-01,January 6th. See you in D.C.
1392,1.345154826171261e+18,"Republicans should have gotten rid of Section 230 in the Defense Bill, and you wouldn’t have had this problem. Never learn!!! https://t.co/7wR84Rhln0",False,False,107829,31923,2021-01-01,"Republicans should have gotten rid of Section 230 in the Defense Bill, and you wouldn’t have had this problem. Never learn!!!"
1393,1.3451557604901642e+18,Thank you Madison! https://t.co/XyaAHO9CwC,False,False,124522,27993,2021-01-01,Thank you Madison!
1394,1.3451563160760607e+18,Herschel is speaking the truth! https://t.co/6x9VLsc9qf,False,False,149686,39695,2021-01-01,Herschel is speaking the truth!
1395,1.345157300588335e+18,"Only because Biden got very few votes, just like the Election! https://t.co/sNIAJ1i5hu",False,False,117448,26014,2021-01-01,"Only because Biden got very few votes, just like the Election!"
1396,1.345160427337085e+18,"Because of the Trump Administration, hospitals are now required, effective immediately, to publish their REAL PRICES, which will create competition and drive downs costs MASSIVELY. Won lawsuit last week. Bigger than healthcare, it’s called PRICE TRANSPARENCY....",False,False,304112,64916,2021-01-02,"Because of the Trump Administration, hospitals are now required, effective immediately, to publish their REAL PRICES, which will create competition and drive downs costs MASSIVELY. Won lawsuit last week. Bigger than healthcare, it’s called PRICE TRANSPARENCY...."
1397,1.345160429165818e+18,....Please remember who got it done!!!,False,False,224009,32516,2021-01-02,....Please remember who got it done!!!
1398,1.3451648830804705e+18,Some States are very slow to inoculate recipients despite successful and very large scale distribution of vaccines by the Federal Government. They will get it done!,False,False,134784,23302,2021-01-02,Some States are very slow to inoculate recipients despite successful and very large scale distribution of vaccines by the Federal Government. They will get it done!
