,id,text,is_retweet,is_deleted,favorites,retweets,date,text_clean,doc,lemmas
1312,1.3415536109965435e+18,"“@NewtGingrich Pens Op-Ed on Election Saying he will not Accept Joe Biden as President” @OANN  Newt Gingrich gets it, we are going to WIN! https://t.co/PBHZo2LLNu https://t.co/uG2HjCEo9G",False,False,144776,40061,2020-12-23,"“ Pens Op-Ed on Election Saying he will not Accept Joe Biden as President” Newt Gingrich gets it, we are going to WIN!","“ Pens Op-Ed on Election Saying he will not Accept Joe Biden as President” Newt Gingrich gets it, we are going to WIN!","['""', 'pen', 'op', '-', 'ed', 'on', 'election', 'say', 'he', 'will', 'not', 'accept', 'joe', 'biden', 'as', 'president', '""', 'newt', 'gingrich', 'get', 'it', ',', 'we', 'be', 'go', 'to', 'win', '!']"
1314,1.3415654055093944e+18,"Statement by Donald J. Trump, The President of the United States

Full Video: https://t.co/avKfYctPAD https://t.co/i8IMLhH53Q",False,False,270968,86918,2020-12-23,"Statement by Donald J. Trump, The President of the United States Full Video:","Statement by Donald J. Trump, The President of the United States Full Video:","['statement', 'by', 'donald', 'j.', 'trump', ',', 'the', 'president', 'of', 'the', 'united', 'states', 'full', 'video', ':']"
1317,1.341043284542714e+18,"Governor @BrianKempGA and his puppet @GeoffDuncanGA, together with the Secretary of State of Georgia, are very slow on Signature Verification, and won’t allow Fulton County to be examined. What are these RINOS hiding? We will easily win Presidential State race. @KLoeffler and....",False,False,175442,43884,2020-12-21,"Governor and his puppet , together with the Secretary of State of Georgia, are very slow on Signature Verification, and won’t allow Fulton County to be examined. What are these RINOS hiding? We will easily win Presidential State race. and....","Governor and his puppet , together with the Secretary of State of Georgia, are very slow on Signature Verification, and won’t allow Fulton County to be examined. What are these RINOS hiding? We will easily win Presidential State race. and....","['governor', 'and', 'his', 'puppet', ',', 'together', 'with', 'the', 'secretary', 'of', 'state', 'of', 'georgia', ',', 'be', 'very', 'slow', 'on', 'signature', 'verification', ',', 'and', 'will', 'not', 'allow', 'fulton', 'county', 'to', 'be', 'examine', '.', 'what', 'be', 'these', 'rinos', 'hiding', '?', 'we', 'will', 'easily', 'win', 'presidential', 'state', 'race', '.', 'and', '....']"
1318,1.3417928320933642e+18,They are slow walking the signature verification in Georgia. They don’t want results to get out prior to January 6th. They know what they are trying so hard to hide. Terrible people! @BrianKempGA,False,False,291241,73872,2020-12-23,They are slow walking the signature verification in Georgia. They don’t want results to get out prior to January 6th. They know what they are trying so hard to hide. Terrible people!,They are slow walking the signature verification in Georgia. They don’t want results to get out prior to January 6th. They know what they are trying so hard to hide. Terrible people!,"['they', 'be', 'slow', 'walk', 'the', 'signature', 'verification', 'in', 'georgia', '.', 'they', 'do', 'not', 'want', 'result', 'to', 'get', 'out', 'prior', 'to', 'january', '6th', '.', 'they', 'know', 'what', 'they', 'be', 'try', 'so', 'hard', 'to', 'hide', '.', 'terrible', 'people', '!']"
1319,1.325096422799237e+18,Georgia Counties Using Same Software as Michigan Counties Also Encounter ‘Glitch’ https://t.co/N2KlEOezGi via @BreitbartNews What a total mess this “election” has been!,False,False,295359,78384,2020-11-07,Georgia Counties Using Same Software as Michigan Counties Also Encounter ‘Glitch’ via What a total mess this “election” has been!,Georgia Counties Using Same Software as Michigan Counties Also Encounter ‘Glitch’ via What a total mess this “election” has been!,"['georgia', 'counties', 'use', 'same', 'software', 'as', 'michigan', 'counties', 'also', 'encounter', ""'"", 'glitch', ""'"", 'via', 'what', 'a', 'total', 'mess', 'this', '""', 'election', '""', 'have', 'be', '!']"
1320,1.325099845045072e+18,"I WON THIS ELECTION, BY A LOT!",False,False,1188311,190721,2020-11-07,"I WON THIS ELECTION, BY A LOT!","I WON THIS ELECTION, BY A LOT!","['i', 'won', 'this', 'election', ',', 'by', 'a', 'lot', '!']"
1321,1.3429743750086e+18,"....Courts are bad, the FBI and “Justice” didn’t do their job, and the United States Election System looks like that of a third world country. Freedom of the press has been gone for a long time, it is Fake News, and now we have Big Tech (with Section 230) to deal with....",False,False,196315,43525,2020-12-26,"....Courts are bad, the FBI and “Justice” didn’t do their job, and the United States Election System looks like that of a third world country. Freedom of the press has been gone for a long time, it is Fake News, and now we have Big Tech (with Section 230) to deal with....","....Courts are bad, the FBI and “Justice” didn’t do their job, and the United States Election System looks like that of a third world country. Freedom of the press has been gone for a long time, it is Fake News, and now we have Big Tech (with Section 230) to deal with....","['....', 'court', 'be', 'bad', ',', 'the', 'fbi', 'and', '""', 'justice', '""', 'do', 'not', 'do', 'their', 'job', ',', 'and', 'the', 'united', 'states', 'election', 'system', 'look', 'like', 'that', 'of', 'a', 'third', 'world', 'country', '.', 'freedom', 'of', 'the', 'press', 'have', 'be', 'go', 'for', 'a', 'long', 'time', ',', 'it', 'be', 'fake', 'news', ',', 'and', 'now', 'we', 'have', 'big', 'tech', '(', 'with', 'section', '230', ')', 'to', 'deal', 'with', '....']"
1322,1.3429743772189942e+18,"....But when it is all over, and this period of time becomes just another ugly chapter in our Country’s history, WE WILL WIN!!!",False,False,241940,54057,2020-12-26,"....But when it is all over, and this period of time becomes just another ugly chapter in our Country’s history, WE WILL WIN!!!","....But when it is all over, and this period of time becomes just another ugly chapter in our Country’s history, WE WILL WIN!!!","['....', 'but', 'when', 'it', 'be', 'all', 'over', ',', 'and', 'this', 'period', 'of', 'time', 'become', 'just', 'another', 'ugly', 'chapter', 'in', 'our', 'country', '’s', 'history', ',', 'we', 'will', 'win', '!', '!', '!']"
1323,1.3251947094430802e+18,"THE OBSERVERS WERE NOT ALLOWED INTO THE COUNTING ROOMS. I WON THE ELECTION, GOT 71,000,000 LEGAL VOTES. BAD THINGS HAPPENED WHICH OUR OBSERVERS WERE NOT ALLOWED TO SEE. NEVER HAPPENED BEFORE. MILLIONS OF MAIL-IN BALLOTS WERE SENT TO PEOPLE WHO NEVER ASKED FOR THEM!",False,False,683888,128595,2020-11-07,"THE OBSERVERS WERE NOT ALLOWED INTO THE COUNTING ROOMS. I WON THE ELECTION, GOT 71,000,000 LEGAL VOTES. BAD THINGS HAPPENED WHICH OUR OBSERVERS WERE NOT ALLOWED TO SEE. NEVER HAPPENED BEFORE. MILLIONS OF MAIL-IN BALLOTS WERE SENT TO PEOPLE WHO NEVER ASKED FOR THEM!","THE OBSERVERS WERE NOT ALLOWED INTO THE COUNTING ROOMS. I WON THE ELECTION, GOT 71,000,000 LEGAL VOTES. BAD THINGS HAPPENED WHICH OUR OBSERVERS WERE NOT ALLOWED TO SEE. NEVER HAPPENED BEFORE. MILLIONS OF MAIL-IN BALLOTS WERE SENT TO PEOPLE WHO NEVER ASKED FOR THEM!","['the', 'observer', 'be', 'not', 'allowed', 'into', 'the', 'counting', 'rooms', '.', 'i', 'won', 'the', 'election', ',', 'got', '71,000,000', 'legal', 'vote', '.', 'bad', 'thing', 'happened', 'which', 'our', 'observer', 'be', 'not', 'allowed', 'to', 'see', '.', 'never', 'happened', 'before', '.', 'million', 'of', 'mail', '-', 'in', 'ballots', 'be', 'send', 'to', 'people', 'who', 'never', 'ask', 'for', 'they', '!']"
1324,1.325195021339988e+18,"71,000,000 Legal Votes. The most EVER for a sitting President!",False,False,978022,157628,2020-11-07,"71,000,000 Legal Votes. The most EVER for a sitting President!","71,000,000 Legal Votes. The most EVER for a sitting President!","['71,000,000', 'legal', 'votes', '.', 'the', 'most', 'ever', 'for', 'a', 'sit', 'president', '!']"
