,id,text,is_retweet,is_deleted,favorites,retweets,date,text_clean,doc,lemmas,contains_metaphor
350,1337745268591259648,"I WON THE ELECTION IN A LANDSLIDE, but remember, I only think in terms of legal votes, not all of the fake voters and fraud that miraculously floated in from everywhere! What a disgrace!",False,False,349044,66657,2020-12-12,"I WON THE ELECTION IN A LANDSLIDE, but remember, I only think in terms of legal votes, not all of the fake voters and fraud that miraculously floated in from everywhere! What a disgrace!","I WON THE ELECTION IN A LANDSLIDE, but remember, I only think in terms of legal votes, not all of the fake voters and fraud that miraculously floated in from everywhere! What a disgrace!","['i', 'won', 'the', 'election', 'in', 'a', 'landslide', ',', 'but', 'remember', ',', 'i', 'only', 'think', 'in', 'term', 'of', 'legal', 'vote', ',', 'not', 'all', 'of', 'the', 'fake', 'voter', 'and', 'fraud', 'that', 'miraculously', 'float', 'in', 'from', 'everywhere', '!', 'what', 'a', 'disgrace', '!']",True
351,1337749020706549760,"Who is a worse governor, @BrianKempGA of Georgia or @dougducey of Arizona??? These are two RINO Republicans who fought against me and the Republican Party harder than any Democrat. They allowed states that I won easily to be stolen. Never forget, vote them out of office!",False,False,170521,38125,2020-12-12,"Who is a worse governor, of Georgia or of Arizona??? These are two RINO Republicans who fought against me and the Republican Party harder than any Democrat. They allowed states that I won easily to be stolen. Never forget, vote them out of office!","Who is a worse governor, of Georgia or of Arizona??? These are two RINO Republicans who fought against me and the Republican Party harder than any Democrat. They allowed states that I won easily to be stolen. Never forget, vote them out of office!","['who', 'be', 'a', 'bad', 'governor', ',', 'of', 'georgia', 'or', 'of', 'arizona', '?', '?', '?', 'these', 'be', 'two', 'rino', 'republicans', 'who', 'fight', 'against', 'i', 'and', 'the', 'republican', 'party', 'hard', 'than', 'any', 'democrat', '.', 'they', 'allow', 'state', 'that', 'i', 'win', 'easily', 'to', 'be', 'steal', '.', 'never', 'forget', ',', 'vote', 'they', 'out', 'of', 'office', '!']",True
352,1329602736053252096,"Look at this in Michigan! A day AFTER the election, Biden receives a dump of 134,886 votes at 6:31AM! https://t.co/CTDaWTNs29 https://t.co/nSmc2olraF",False,False,221074,68002,2020-11-20,"Look at this in Michigan! A day AFTER the election, Biden receives a dump of 134,886 votes at 6:31AM!","Look at this in Michigan! A day AFTER the election, Biden receives a dump of 134,886 votes at 6:31AM!","['look', 'at', 'this', 'in', 'michigan', '!', 'a', 'day', 'after', 'the', 'election', ',', 'biden', 'receive', 'a', 'dump', 'of', '134,886', 'vote', 'at', '6:31am', '!']",True
353,1337755490563010560,"IF Biden gets in, nothing will happen to Hunter or Joe. Barr will do nothing, and the new group of partisan killers coming in will quickly kill it all. Same thing with Durham. We caught them cold, spying, treason & more (the hard part), but “Justice” took too long. Will be DOA!",False,False,255339,53157,2020-12-12,"IF Biden gets in, nothing will happen to Hunter or Joe. Barr will do nothing, and the new group of partisan killers coming in will quickly kill it all. Same thing with Durham. We caught them cold, spying, treason & more (the hard part), but “Justice” took too long. Will be DOA!","IF Biden gets in, nothing will happen to Hunter or Joe. Barr will do nothing, and the new group of partisan killers coming in will quickly kill it all. Same thing with Durham. We caught them cold, spying, treason & more (the hard part), but “Justice” took too long. Will be DOA!","['if', 'biden', 'get', 'in', ',', 'nothing', 'will', 'happen', 'to', 'hunter', 'or', 'joe', '.', 'barr', 'will', 'do', 'nothing', ',', 'and', 'the', 'new', 'group', 'of', 'partisan', 'killer', 'come', 'in', 'will', 'quickly', 'kill', 'it', 'all', '.', 'same', 'thing', 'with', 'durham', '.', 'we', 'catch', 'they', 'cold', ',', 'spying', ',', 'treason', '&', 'more', '(', 'the', 'hard', 'part', ')', ',', 'but', '""', 'justice', '""', 'take', 'too', 'long', '.', 'will', 'be', 'doa', '!']",True
356,1337774011376340992,"Wow! Thousands of people forming in Washington (D.C.) for Stop the Steal. Didn’t know about this, but I’ll be seeing them! #MAGA",False,False,358667,62252,2020-12-12,"Wow! Thousands of people forming in Washington (D.C.) for Stop the Steal. Didn’t know about this, but I’ll be seeing them! MAGA","Wow! Thousands of people forming in Washington (D.C.) for Stop the Steal. Didn’t know about this, but I’ll be seeing them! MAGA","['wow', '!', 'thousand', 'of', 'people', 'form', 'in', 'washington', '(', 'd.c.', ')', 'for', 'stop', 'the', 'steal', '.', 'do', 'not', 'know', 'about', 'this', ',', 'but', 'i', '’ll', 'be', 'see', 'they', '!', 'maga']",True
359,1338145479725633536,How do states and politicians confirm an election where corruption and irregularities are documented throughout? A Swing State hustle!,False,False,249426,45749,2020-12-13,How do states and politicians confirm an election where corruption and irregularities are documented throughout? A Swing State hustle!,How do states and politicians confirm an election where corruption and irregularities are documented throughout? A Swing State hustle!,"['how', 'do', 'state', 'and', 'politician', 'confirm', 'an', 'election', 'where', 'corruption', 'and', 'irregularity', 'be', 'document', 'throughout', '?', 'a', 'swing', 'state', 'hustle', '!']",True
363,1338246163368046592,"The RINOS that run the state voting apparatus have caused us this problem of allowing the Democrats to so blatantly cheat in their attempt to steal the election, which we won overwhelmingly. How dare they allow this massive and ridiculous Mail-In Voting to occur...",False,False,171587,35988,2020-12-13,"The RINOS that run the state voting apparatus have caused us this problem of allowing the Democrats to so blatantly cheat in their attempt to steal the election, which we won overwhelmingly. How dare they allow this massive and ridiculous Mail-In Voting to occur...","The RINOS that run the state voting apparatus have caused us this problem of allowing the Democrats to so blatantly cheat in their attempt to steal the election, which we won overwhelmingly. How dare they allow this massive and ridiculous Mail-In Voting to occur...","['the', 'rinos', 'that', 'run', 'the', 'state', 'voting', 'apparatus', 'have', 'cause', 'we', 'this', 'problem', 'of', 'allow', 'the', 'democrats', 'to', 'so', 'blatantly', 'cheat', 'in', 'their', 'attempt', 'to', 'steal', 'the', 'election', ',', 'which', 'we', 'win', 'overwhelmingly', '.', 'how', 'dare', 'they', 'allow', 'this', 'massive', 'and', 'ridiculous', 'mail', '-', 'in', 'voting', 'to', 'occur', '...']",True
366,1338254787020787712,".....and many others voted illegally. Also, machine “glitches” (another word for FRAUD), ballot harvesting, non-resident voters, fake ballots, “stuffing the ballot box”, votes for pay, roughed up Republican Poll Watchers, and sometimes even more votes than people voting, took....",False,False,156467,31232,2020-12-13,".....and many others voted illegally. Also, machine “glitches” (another word for FRAUD), ballot harvesting, non-resident voters, fake ballots, “stuffing the ballot box”, votes for pay, roughed up Republican Poll Watchers, and sometimes even more votes than people voting, took....",".....and many others voted illegally. Also, machine “glitches” (another word for FRAUD), ballot harvesting, non-resident voters, fake ballots, “stuffing the ballot box”, votes for pay, roughed up Republican Poll Watchers, and sometimes even more votes than people voting, took....","['.....', 'and', 'many', 'other', 'vote', 'illegally', '.', 'also', ',', 'machine', '""', 'glitch', '""', '(', 'another', 'word', 'for', 'fraud', ')', ',', 'ballot', 'harvesting', ',', 'non', '-', 'resident', 'voter', ',', 'fake', 'ballot', ',', '""', 'stuff', 'the', 'ballot', 'box', '""', ',', 'vote', 'for', 'pay', ',', 'rough', 'up', 'republican', 'poll', 'watchers', ',', 'and', 'sometimes', 'even', 'more', 'vote', 'than', 'people', 'vote', ',', 'take', '....']",True
368,1338347204440952832,"Democrats weakened the Signature Verification (and other) safeguards in Georgia. @staceyabrams played @BrianKempGA & Secretary of State, for fools. Consent Decree, which is terrible for Republicans (and honest people!), must be opened up NOW - David, Kelly, and I will then win!",False,False,141144,30002,2020-12-14,"Democrats weakened the Signature Verification (and other) safeguards in Georgia. played & Secretary of State, for fools. Consent Decree, which is terrible for Republicans (and honest people!), must be opened up NOW - David, Kelly, and I will then win!","Democrats weakened the Signature Verification (and other) safeguards in Georgia. played & Secretary of State, for fools. Consent Decree, which is terrible for Republicans (and honest people!), must be opened up NOW - David, Kelly, and I will then win!","['democrats', 'weaken', 'the', 'signature', 'verification', '(', 'and', 'other', ')', 'safeguard', 'in', 'georgia', '.', 'play', '&', 'secretary', 'of', 'state', ',', 'for', 'fool', '.', 'consent', 'decree', ',', 'which', 'be', 'terrible', 'for', 'republicans', '(', 'and', 'honest', 'people', '!', ')', ',', 'must', 'be', 'open', 'up', 'now', '-', 'david', ',', 'kelly', ',', 'and', 'i', 'will', 'then', 'win', '!']",True
370,1338483200046354432,"“Why did the Swing States stop counting in the middle of the night?” @MariaBartiromo Because they waited to find out how many ballots they had to produce in order to steal the Rigged Election. They were so far behind that they needed time, & a fake “water main break”, to recover!",False,False,269237,62408,2020-12-14,"“Why did the Swing States stop counting in the middle of the night?” Because they waited to find out how many ballots they had to produce in order to steal the Rigged Election. They were so far behind that they needed time, & a fake “water main break”, to recover!","“Why did the Swing States stop counting in the middle of the night?” Because they waited to find out how many ballots they had to produce in order to steal the Rigged Election. They were so far behind that they needed time, & a fake “water main break”, to recover!","['""', 'why', 'do', 'the', 'swing', 'state', 'stop', 'count', 'in', 'the', 'middle', 'of', 'the', 'night', '?', '""', 'because', 'they', 'wait', 'to', 'find', 'out', 'how', 'many', 'ballot', 'they', 'have', 'to', 'produce', 'in', 'order', 'to', 'steal', 'the', 'rigged', 'election', '.', 'they', 'be', 'so', 'far', 'behind', 'that', 'they', 'need', 'time', ',', '&', 'a', 'fake', '""', 'water', 'main', 'break', '""', ',', 'to', 'recover', '!']",True
