,id,date,text,keyword,context,is_retweet,is_deleted,favorites,retweets,lemmas
21,1330555645213483008,2020-11-22,"Other than politics, how do you lose a case where large numbers of voters, far more than you need to flip Pennsylvania, are disenfranchised? Vote Observers thrown out of counting rooms. People going to vote finding out they have already voted through a fake ballot - go home!",lose,"Other than politics, how do you lose a case where large numbers of voters, far",False,False,271250,55418,"['other', 'than', 'politic', ',', 'how', 'do', 'you', 'lose', 'a', 'case', 'where', 'large', 'number', 'of', 'voter', ',', 'far', 'more', 'than', 'you', 'need', 'to', 'flip', 'pennsylvania', ',', 'be', 'disenfranchised', '?', 'vote', 'observers', 'throw', 'out', 'of', 'count', 'room', '.', 'people', 'go', 'to', 'vote', 'find', 'out', 'they', 'have', 'already', 'vote', 'through', 'a', 'fake', 'ballot', '-', 'go', 'home', '!']"
22,1333856259662077952,2020-12-01,Hope everybody is watching @OANN right now. Other media afraid to show. People are coming forward like never before. Large truck carrying hundreds of thousands of fraudulent (FAKE) ballots to a voting center? TERRIBLE - SAVE AMERICA!,save,(FAKE) ballots to a voting center? TERRIBLE - SAVE AMERICA!,False,False,207415,51028,"['hope', 'everybody', 'be', 'watch', 'right', 'now', '.', 'other', 'medium', 'afraid', 'to', 'show', '.', 'people', 'be', 'come', 'forward', 'like', 'never', 'before', '.', 'large', 'truck', 'carry', 'hundred', 'of', 'thousand', 'of', 'fraudulent', '(', 'fake', ')', 'ballot', 'to', 'a', 'voting', 'center', '?', 'terrible', '-', 'save', 'america', '!']"
23,1327715767916392448,2020-11-14,The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!,steal,the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!,False,False,302185,70205,"['the', 'hand', 'recount', 'take', 'place', 'in', 'georgia', 'be', 'a', 'waste', 'of', 'time', '.', 'they', 'be', 'not', 'show', 'the', 'matching', 'signature', '.', 'call', 'off', 'the', 'recount', 'until', 'they', 'allow', 'the', 'match', '.', 'do', 'not', 'let', 'the', 'radical', 'left', 'dems', 'steal', 'the', 'election', '!']"
24,1327811527123103488,2020-11-15,"I look forward to Mayor Giuliani spearheading the legal effort to defend OUR RIGHT to FREE and FAIR ELECTIONS! Rudy Giuliani, Joseph diGenova, Victoria Toensing, Sidney Powell, and Jenna Ellis, a truly great team, added to our other wonderful lawyers and representatives!",defend,to Mayor Giuliani spearheading the legal effort to defend OUR RIGHT to FREE and FAIR ELECTIONS! Rudy,False,False,331128,67982,"['i', 'look', 'forward', 'to', 'mayor', 'giuliani', 'spearhead', 'the', 'legal', 'effort', 'to', 'defend', 'our', 'right', 'to', 'free', 'and', 'fair', 'election', '!', 'rudy', 'giuliani', ',', 'joseph', 'digenova', ',', 'victoria', 'toensing', ',', 'sidney', 'powell', ',', 'and', 'jenna', 'ellis', ',', 'a', 'truly', 'great', 'team', ',', 'add', 'to', 'our', 'other', 'wonderful', 'lawyer', 'and', 'representative', '!']"
25,1327824600760274944,2020-11-15,"Antifa SCUM ran for the hills today when they tried attacking the people at the Trump Rally, because those people aggressively fought back. Antifa waited until tonight, when 99% were gone, to attack innocent #MAGA People. DC Police, get going — do you job and don’t hold back!!!",attack,"waited until tonight, when 99% were gone, to attack innocent #MAGA People. DC Police, get going —",False,True,56627,16548,"['antifa', 'scum', 'run', 'for', 'the', 'hill', 'today', 'when', 'they', 'try', 'attack', 'the', 'people', 'at', 'the', 'trump', 'rally', ',', 'because', 'those', 'people', 'aggressively', 'fight', 'back', '.', 'antifa', 'wait', 'until', 'tonight', ',', 'when', '99', '%', 'be', 'go', ',', 'to', 'attack', 'innocent', 'maga', 'people', '.', 'dc', 'police', ',', 'get', 'go', '—', 'do', 'you', 'job', 'and', 'do', 'not', 'hold', 'back', '!', '!', '!']"
26,1327828007311073280,2020-11-15,"ANTIFA SCUM ran for the hills today when they tried attacking the people at the Trump Rally, because those people aggressively fought back. Antifa waited until tonight, when 99% were gone, to attack innocent #MAGA People. DC Police, get going — do your job and don’t hold back!!!",attack,"waited until tonight, when 99% were gone, to attack innocent #MAGA People. DC Police, get going —",False,False,342024,75236,"['antifa', 'scum', 'run', 'for', 'the', 'hill', 'today', 'when', 'they', 'try', 'attack', 'the', 'people', 'at', 'the', 'trump', 'rally', ',', 'because', 'those', 'people', 'aggressively', 'fight', 'back', '.', 'antifa', 'wait', 'until', 'tonight', ',', 'when', '99', '%', 'be', 'go', ',', 'to', 'attack', 'innocent', 'maga', 'people', '.', 'dc', 'police', ',', 'get', 'go', '—', 'do', 'your', 'job', 'and', 'do', 'not', 'hold', 'back', '!', '!', '!']"
27,1327836002631766016,2020-11-15,Human Radical Left garbage did this. Being arrested now! https://t.co/fXSsXXp5yc,garbage,Human Radical Left garbage did this. Being arrested now! https://t.co/fXSsXXp5yc,False,False,110241,33252,"['human', 'radical', 'left', 'garbage', 'do', 'this', '.', 'be', 'arrest', 'now', '!']"
28,1327836670742450176,2020-11-15,The Silent Media is the Enemy of the People!!! https://t.co/I2LnE3dpI9,silent,The Silent Media is the Enemy of the People!!! https://t.co/I2LnE3dpI9,False,False,151019,34701,"['the', 'silent', 'media', 'be', 'the', 'enemy', 'of', 'the', 'people', '!', '!', '!']"
29,1334711509977608192,2020-12-04,"The best way to insure a @KLoeffler and @sendavidperdue VICTORY is to allow signature checks in the Presidential race, which will insure a Georgia Presidential win (very few votes are needed, many will be found). Spirits will soar and everyone will rush out and VOTE! @BrianKempGA",victory,best way to insure a @KLoeffler and @sendavidperdue VICTORY is to allow signature checks in the Presidential,False,False,170738,39417,"['the', 'good', 'way', 'to', 'insure', 'a', 'and', 'victory', 'be', 'to', 'allow', 'signature', 'check', 'in', 'the', 'presidential', 'race', ',', 'which', 'will', 'insure', 'a', 'georgia', 'presidential', 'win', '(', 'very', 'few', 'vote', 'be', 'need', ',', 'many', 'will', 'be', 'find', ')', '.', 'spirit', 'will', 'soar', 'and', 'everyone', 'will', 'rush', 'out', 'and', 'vote', '!']"
30,1327956491056279552,2020-11-15,"He won because the Election was Rigged. NO VOTE WATCHERS OR OBSERVERS allowed, vote tabulated by a Radical Left privately owned company, Dominion, with a bad reputation & bum equipment that couldn’t even qualify for Texas (which I won by a lot!), the Fake & Silent Media, & more! https://t.co/Exb3C1mAPg",silent,"I won by a lot!), the Fake & Silent Media, & more! https://t.co/Exb3C1mAPg",False,False,154000,36622,"['he', 'win', 'because', 'the', 'election', 'be', 'rig', '.', 'no', 'vote', 'watcher', 'or', 'observer', 'allow', ',', 'vote', 'tabulate', 'by', 'a', 'radical', 'left', 'privately', 'own', 'company', ',', 'dominion', ',', 'with', 'a', 'bad', 'reputation', '&', 'bum', 'equipment', 'that', 'could', 'not', 'even', 'qualify', 'for', 'texas', '(', 'which', 'i', 'win', 'by', 'a', 'lot', '!', ')', ',', 'the', 'fake', '&', 'silent', 'media', ',', '&', 'more', '!']"
31,1327958640309972992,2020-11-15,"All of the mechanical “glitches” that took place on Election Night were really THEM getting caught trying to steal votes. They succeeded plenty, however, without getting caught. Mail-in elections are a sick joke!",sick,"however, without getting caught. Mail-in elections are a sick joke!",False,False,269285,53371,"['all', 'of', 'the', 'mechanical', '""', 'glitch', '""', 'that', 'take', 'place', 'on', 'election', 'night', 'be', 'really', 'they', 'getting', 'catch', 'try', 'to', 'steal', 'vote', '.', 'they', 'succeed', 'plenty', ',', 'however', ',', 'without', 'getting', 'catch', '.', 'mail', '-', 'in', 'election', 'be', 'a', 'sick', 'joke', '!']"
32,1327958640309972992,2020-11-15,"All of the mechanical “glitches” that took place on Election Night were really THEM getting caught trying to steal votes. They succeeded plenty, however, without getting caught. Mail-in elections are a sick joke!",steal,"Night were really THEM getting caught trying to steal votes. They succeeded plenty, however, without getting caught.",False,False,269285,53371,"['all', 'of', 'the', 'mechanical', '""', 'glitch', '""', 'that', 'take', 'place', 'on', 'election', 'night', 'be', 'really', 'they', 'getting', 'catch', 'try', 'to', 'steal', 'vote', '.', 'they', 'succeed', 'plenty', ',', 'however', ',', 'without', 'getting', 'catch', '.', 'mail', '-', 'in', 'election', 'be', 'a', 'sick', 'joke', '!']"
33,1328093294782509056,2020-11-15,We won’t let a RIGGED ELECTION steal our Country! https://t.co/r0H4ZcDkHv,steal,We won’t let a RIGGED ELECTION steal our Country! https://t.co/r0H4ZcDkHv,False,False,270740,62410,"['we', 'will', 'not', 'let', 'a', 'rigged', 'election', 'steal', 'our', 'country', '!']"
34,1325065540390559488,2020-11-07,"Tens of thousands of votes were illegally received after 8 P.M. on Tuesday, Election Day, totally and easily changing the results in Pennsylvania and certain other razor thin states. As a separate matter, hundreds of thousands of Votes were illegally not allowed to be OBSERVED...",thin,"the results in Pennsylvania and certain other razor thin states. As a separate matter, hundreds of thousands",False,False,0,0,"['ten', 'of', 'thousand', 'of', 'vote', 'be', 'illegally', 'receive', 'after', '8', 'p.m.', 'on', 'tuesday', ',', 'election', 'day', ',', 'totally', 'and', 'easily', 'change', 'the', 'result', 'in', 'pennsylvania', 'and', 'certain', 'other', 'razor', 'thin', 'state', '.', 'as', 'a', 'separate', 'matter', ',', 'hundred', 'of', 'thousand', 'of', 'vote', 'be', 'illegally', 'not', 'allow', 'to', 'be', 'observed', '...']"
35,1335351629810286592,2020-12-05,"Between Governor @DougDucey of Arizona and Governor @BrianKempGA of Georgia, the Democrat Party could not be happier. They fight harder against us than do the Radical Left Dems. If they were with us, we would have already won both Arizona and Georgia...",fight,the Democrat Party could not be happier. They fight harder against us than do the Radical Left,False,False,161551,35679,"['between', 'governor', 'of', 'arizona', 'and', 'governor', 'of', 'georgia', ',', 'the', 'democrat', 'party', 'could', 'not', 'be', 'happy', '.', 'they', 'fight', 'hard', 'against', 'we', 'than', 'do', 'the', 'radical', 'left', 'dems', '.', 'if', 'they', 'be', 'with', 'we', ',', 'we', 'would', 'have', 'already', 'win', 'both', 'arizona', 'and', 'georgia', '...']"
36,1335413770139549696,2020-12-06,"The answer to the Democrat voter fraud is not to stay at home - that’s what Pelosi and Schumer want you to do. If you want revenge on the Democrats for their efforts to steal the Presidential election, where we are fighting hard, you have to show up and vote in RECORD numbers! https://t.co/XAJ0F2JmeL",steal,"revenge on the Democrats for their efforts to steal the Presidential election, where we are fighting hard,",False,False,166748,41785,"['the', 'answer', 'to', 'the', 'democrat', 'voter', 'fraud', 'be', 'not', 'to', 'stay', 'at', 'home', '-', 'that', '’', 'what', 'pelosi', 'and', 'schumer', 'want', 'you', 'to', 'do', '.', 'if', 'you', 'want', 'revenge', 'on', 'the', 'democrats', 'for', 'their', 'effort', 'to', 'steal', 'the', 'presidential', 'election', ',', 'where', 'we', 'be', 'fight', 'hard', ',', 'you', 'have', 'to', 'show', 'up', 'and', 'vote', 'in', 'record', 'number', '!']"
37,1328361451497664512,2020-11-16,"The Radical Left Democrats, working with their partner, the Fake News Media, are trying to STEAL this Election. We won’t let them!",steal,"partner, the Fake News Media, are trying to STEAL this Election. We won’t let them!",False,False,344327,62658,"['the', 'radical', 'left', 'democrats', ',', 'work', 'with', 'their', 'partner', ',', 'the', 'fake', 'news', 'media', ',', 'be', 'try', 'to', 'steal', 'this', 'election', '.', 'we', 'will', 'not', 'let', 'they', '!']"
38,1336730906107768832,2020-12-09,"If somebody cheated in the Election, which the Democrats did, why wouldn’t the Election be immediately overturned? How can a Country be run like this?",run,be immediately overturned? How can a Country be run like this?,False,False,262143,51997,"['if', 'somebody', 'cheat', 'in', 'the', 'election', ',', 'which', 'the', 'democrats', 'do', ',', 'why', 'would', 'not', 'the', 'election', 'be', 'immediately', 'overturn', '?', 'how', 'can', 'a', 'country', 'be', 'run', 'like', 'this', '?']"
39,1337040387349893120,2020-12-10,The Supreme Court has a chance to save our Country from the greatest Election abuse in the history of the United States. 78% of the people feel (know!) the Election was RIGGED.,abuse,to save our Country from the greatest Election abuse in the history of the United States. 78%,False,False,209213,46234,"['the', 'supreme', 'court', 'have', 'a', 'chance', 'to', 'save', 'our', 'country', 'from', 'the', 'great', 'election', 'abuse', 'in', 'the', 'history', 'of', 'the', 'united', 'states', '.', '78', '%', 'of', 'the', 'people', 'feel', '(', 'know', '!', ')', 'the', 'election', 'be', 'rigged', '.']"
40,1337040387349893120,2020-12-10,The Supreme Court has a chance to save our Country from the greatest Election abuse in the history of the United States. 78% of the people feel (know!) the Election was RIGGED.,save,The Supreme Court has a chance to save our Country from the greatest Election abuse in,False,False,209213,46234,"['the', 'supreme', 'court', 'have', 'a', 'chance', 'to', 'save', 'our', 'country', 'from', 'the', 'great', 'election', 'abuse', 'in', 'the', 'history', 'of', 'the', 'united', 'states', '.', '78', '%', 'of', 'the', 'people', 'feel', '(', 'know', '!', ')', 'the', 'election', 'be', 'rigged', '.']"
